timestamp,ax,ay,az,gx,gy,gz,p1,p2
4432,5.19,7.28,-5.86,-0.03,0.14,-0.01,24,16
4454,5.14,7.14,-5.89,-0.03,0.08,-0.0,25,28
4476,5.3,7.01,-5.85,-0.05,0.02,-0.02,20,18
4498,5.03,6.95,-5.66,-0.04,0.03,-0.01,22,28
4520,6.55,7.68,-6.22,-0.14,-0.15,-0.27,18,24
4542,5.7,7.91,-5.64,-0.26,-0.43,-0.54,23,18
4564,4.52,7.12,-5.97,-0.19,-0.31,-0.4,19,29
4586,5.04,6.96,-6.04,-0.27,-0.3,-0.4,18,34
4608,4.3,6.77,-5.94,-0.29,-0.22,-0.29,20,29
4630,4.47,6.73,-5.35,-0.11,-0.06,-0.11,23,31
4652,4.73,6.95,-5.78,-0.06,-0.08,-0.12,21,30
4674,4.95,7.2,-5.75,0.0,-0.0,-0.01,21,29
4696,4.87,7.15,-5.88,-0.01,-0.01,-0.05,23,22
4718,4.43,7.24,-5.3,0.04,-0.01,0.01,21,24
4740,4.93,7.11,-5.43,0.16,0.03,0.16,20,19
4762,5.09,7.41,-6.19,0.12,-0.02,0.12,22,9
4784,3.98,7.4,-6.11,0.01,0.04,0.32,25,14
4806,5.92,7.34,-5.26,-0.1,-0.02,0.34,21,23
4828,5.27,7.44,-5.91,-0.12,-0.18,0.13,20,21
4850,5.22,7.0,-5.75,-0.13,-0.26,0.05,19,25
4872,4.77,7.35,-6.25,-0.19,-0.21,-0.01,22,16
4894,4.94,7.22,-6.28,-0.22,-0.19,-0.13,23,24
4916,5.12,7.12,-5.89,-0.17,-0.11,-0.25,22,25
4938,4.61,7.42,-5.17,-0.1,-0.09,-0.25,21,26
4960,3.57,7.39,-5.79,-0.02,-0.01,-0.22,20,25
4982,3.9,7.04,-6.28,0.05,0.13,-0.21,21,26
5004,4.33,7.23,-5.69,0.11,0.27,-0.17,21,28
5026,5.15,7.03,-5.41,0.08,0.17,-0.02,21,26
5048,5.04,7.91,-6.01,0.14,0.16,-0.01,21,19
5070,4.74,7.17,-5.87,0.12,0.04,-0.01,21,17
5092,4.21,7.32,-6.0,0.13,0.1,0.1,19,19
5114,4.59,7.49,-6.36,0.06,0.17,0.1,20,18
5136,4.86,7.55,-5.86,-0.01,0.05,-0.0,21,17
5158,4.9,7.76,-5.03,0.16,0.15,0.03,22,16
5180,6.25,9.01,-4.89,0.37,0.12,-0.0,22,9
5202,5.07,9.39,-1.81,0.89,-0.56,0.17,20,12
5224,6.33,5.6,-4.08,1.11,-1.03,0.33,21,21
5246,5.78,4.5,-7.74,0.94,-1.02,-0.09,23,16
5268,2.99,5.44,-11.27,-0.44,0.3,-0.19,22,16
5290,2.45,6.45,-8.16,-0.85,0.79,0.18,21,14
